"","budget","company","country","director","genre","gross","name","rating","released","runtime","score","star","votes","writer","year"
"3658",2.5e+07,"Universal Pictures","USA","Malcolm D. Lee","Action",38230435,"Undercover Brother","PG-13","2002-05-31",86,5.8,"Eddie Griffin",30636,"John Ridley",2002
"6630",8500000,"Amazon Studios","USA","Kenneth Lonergan","Drama",47695120,"Manchester by the Sea","R","2016-12-16",137,7.9,"Casey Affleck",159673,"Kenneth Lonergan",2016
"107",0,"Orion Pictures","USA","Gene Wilder","Comedy",8033397,"Haunted Honeymoon","PG","1986-07-25",82,5.6,"Gene Wilder",5549,"Gene Wilder",1986
"3819",3.5e+07,"Universal Pictures","UK","Peter Howitt","Action",28082366,"Johnny English","PG","2003-07-18",100,6.1,"Rowan Atkinson",121464,"Neal Purvis",2003
"1030",0,"Central Cinema Company Film (CCC)","Germany","Agnieszka Holland","Drama",5575738,"Europa Europa","R","1990-11-14",112,7.7,"Solomon Perel",12706,"Paul Hengge",1990
"263",5e+06,"F/M","USA","Kathryn Bigelow","Action",3369307,"Near Dark","R","1988",94,7,"Adrian Pasdar",27485,"Kathryn Bigelow",1987
"4092",1.5e+07,"Fine Line Features","USA","John Waters","Comedy",1339668,"A Dirty Shame","NC-17","2004-09-24",89,5.1,"Tracey Ullman",11124,"John Waters",2004
"4163",0,"WT2 Productions","UK","Damien O'Donnell","Comedy",21864,"Rory O'Shea Was Here","R","2004-10-15",104,7.9,"James McAvoy",12466,"Jeffrey Caine",2004
"930",0,"Fugitive TV Productions","UK","Peter Medak","Biography",2060847,"The Krays","R","1990-11-09",115,6.7,"Gary Kemp",6422,"Philip Ridley",1990
"5657",2.5e+07,"Incentive Filmed Entertainment","USA","David R. Ellis","Horror",18872522,"Shark Night 3D","PG-13","2011-09-02",90,4,"Sara Paxton",21890,"Will Hayes",2011
"3885",0,"Recorded Picture Company (RPC)","UK","David Mackenzie","Crime",767240,"Young Adam","NC-17","2003-09-26",98,6.5,"Ewan McGregor",12050,"Alexander Trocchi",2003
"1198",0,"Not specified","USA","Nancy Savoca","Comedy",394631,"Dogfight","R","1991-10-04",94,7.5,"River Phoenix",6927,"Bob Comfort",1991
"235",1.4e+07,"Paramount Pictures","USA","Adrian Lyne","Drama",156645693,"Fatal Attraction","R","1987-09-18",119,6.9,"Michael Douglas",60383,"James Dearden",1987
"6218",9.5e+07,"Beijing Skywheel Entertainment Co.","USA","Sergei Bodrov","Action",17223265,"Seventh Son","PG-13","2015-02-06",102,5.5,"Ben Barnes",61441,"Charles Leavitt",2014
"3531",9.4e+07,"New Line Cinema","USA","Peter Jackson","Adventure",342551365,"The Lord of the Rings: The Two Towers","PG-13","2002-12-18",179,8.7,"Elijah Wood",1206786,"J.R.R. Tolkien",2002
"3098",9.3e+07,"Columbia Pictures Corporation","USA","McG","Action",125305545,"Charlie's Angels","PG-13","2000-11-03",98,5.5,"Cameron Diaz",153010,"Ryan Rowe",2000
"5793",1.2e+07,"Twentieth Century Fox Film Corporation","USA","Josh Trank","Sci-Fi",64575175,"Chronicle","PG-13","2012-02-03",89,7.1,"Dane DeHaan",216523,"Max Landis",2012
"726",0,"Deseo, El","Spain","Pedro Almodóvar","Comedy",4087361,"Tie Me Up! Tie Me Down!","NC-17","1990-04-12",101,7,"Victoria Abril",19654,"Pedro Almodóvar",1989
"2162",0,"Hollywood Pictures","UK","Peter Chelsom","Comedy",532268,"Funny Bones","R","1995-03-31",128,7,"Jerry Lewis",3191,"Peter Chelsom",1995
"864",0,"Channel Four Films","UK","David Hare","Drama",764794,"Strapless","R","1990-05-18",100,5.8,"Blair Brown",322,"David Hare",1989
"2130",0,"Atlas Entertainment","UK","Patrick Read Johnson","Comedy",4821759,"Angus","PG-13","1995-09-15",90,6.7,"Charlie Talbert",5736,"Chris Crutcher",1995
"5685",8e+06,"Mockingbird Pictures","UK","Rodrigo García","Drama",3014696,"Albert Nobbs","R","2012-06-08",113,6.7,"Glenn Close",20844,"Gabriella Prekop",2011
"2472",0,"Rex Entertainment","Japan","Satoshi Kon","Animation",112536,"Perfect Blue","R","1998-02-28",81,7.9,"Junko Iwao",33789,"Sadayuki Murai",1997
"1413",0,"Hawn / Sylbert Movie Company","USA","Chris Menges","Crime",3052738,"CrissCross","R","1992-05-08",100,5.8,"Goldie Hawn",1383,"Scott Sommer",1992
"1861",0,"Warner Bros.","USA","Caroline Thompson","Adventure",4630377,"Black Beauty","G","1994-07-29",88,6.6,"Sean Bean",7810,"Anna Sewell",1994
"5126",3e+07,"Focus Features","USA","Shane Acker","Animation",31743332,"9","PG-13","2009-09-09",79,7.1,"Elijah Wood",117268,"Pamela Pettler",2009
"3709",6e+07,"Universal Pictures","Germany","Jonathan Demme","Mystery",5350371,"The Truth About Charlie","PG-13","2002-10-25",104,4.8,"Mark Wahlberg",8899,"Peter Stone",2002
"2291",1.3e+07,"Universal City Studios","USA","Gilbert Adler","Comedy",5587855,"Bordello of Blood","R","1996-08-16",87,5.3,"Dennis Miller",11251,"William M. Gaines",1996
"3159",6.5e+07,"Clipsal Films","USA","Clint Eastwood","Action",90464773,"Space Cowboys","PG-13","2000-08-04",130,6.4,"Clint Eastwood",63698,"Ken Kaufman",2000
"5105",1e+08,"Universal Pictures","USA","Michael Mann","Biography",97104620,"Public Enemies","R","2009-07-01",140,7,"Christian Bale",244316,"Ronan Bennett",2009
"5780",1.5e+08,"Warner Bros.","Spain","Jonathan Liebesman","Action",83670083,"Furia de Titanes 2","PG-13","2012-03-30",99,5.8,"Sam Worthington",161836,"Dan Mazeau",2012
"3923",0,"Café Film","Hungary","Nimród Antal","Comedy",237183,"Kontroll","R","2003-11-20",107,7.7,"Sándor Csányi",21046,"Jim Adler",2003
